index,name,auc_test,brier_test,precision,recall,n_trades,hit_rate,mean_ret,sharpe,total_return
0,Logit,0.602474187,0.423470502,0.251101322,0.982758621,200,0.26,0.001199885,7.822350311,0.270428249
1,Naive_bayes,0.730761738,0.284705471,0.418918919,0.534482759,71,0.422535211,0.002012676,5.865316241,0.15320015
19,Ensemble_stacking,0.559419443,0.257136747,0.288659794,0.482758621,53,0.490566038,0.00235283,5.453180496,0.132456029
2,Random_forest,0.630722774,0.233746433,0.32967033,0.517241379,55,0.363636364,0.001718182,4.641854196,0.098845965
22,Lstm_sequence,0.67543347,0.217584349,0.362637363,0.568965517,55,0.345454544,0.001627273,4.499545069,0.093378526
11,Random_forest_cal,0.700857199,0.204342841,0.37704918,0.396551724,30,0.233333333,0.001066667,2.582524605,0.032430905
6,Xgb,0.60218196,0.216411461,0.294117647,0.172413793,23,0.260869565,0.001204348,2.410818727,0.028013315
8,Cat,0.540911748,0.227022442,0.357142857,0.172413793,13,0.307692308,0.001438462,1.986278247,0.018827128
3,Gradient_boosting,0.590785116,0.203031158,0.333333333,0.086206897,6,0.333333333,0.001566667,1.406636397,0.009420141
7,Lgbm,0.648061562,0.242118837,0.222222222,0.034482759,7,0.285714286,0.001328571,1.391410207,0.009319199
18,Ensemble_soft_voting,0.706896552,0.17850796,0.333333333,0.034482759,1,1,0.0049,1.035538713,0.0049
5,Hist_gbm,0.602766413,0.207226394,0.333333333,0.086206897,5,0.2,0.0009,0.94989311,0.0044981
16,Lgbm_cal,0.394408728,0.257843671,0.211267606,0.775862069,1,0,-0.0001,-1.035538713,-1.00E-04
4,Svm_rbf,0.558250536,0.190927602,0,0,0,NaN,NaN,NaN,NaN
9,Logit_cal,0.625560101,0.185187895,0,0,0,NaN,NaN,NaN,NaN
10,Naive_bayes_cal,0.71517631,0.221109304,0.397590361,0.568965517,0,NaN,NaN,NaN,NaN
12,Gradient_boosting_cal,0.568283655,0.244506047,0.355263158,0.465517241,0,NaN,NaN,NaN,NaN
13,Svm_rbf_cal,0.599162283,0.188373711,0,0,0,NaN,NaN,NaN,NaN
14,Hist_gbm_cal,0.664231444,0.239842016,0.384615385,0.603448276,0,NaN,NaN,NaN,NaN
15,Xgb_cal,0.556497175,0.187719328,0,0,0,NaN,NaN,NaN,NaN
17,Cat_cal,0.492207286,0.253858965,0.228070175,0.672413793,0,NaN,NaN,NaN,NaN
20,Ensemble_soft_voting_cal,0.690629262,0.184843503,0,0,0,NaN,NaN,NaN,NaN
21,Ensemble_stacking_cal,0.694915254,0.235720495,0.4,0.620689655,0,NaN,NaN,NaN,NaN